Job ID,Job Role,Disability,Skills Required,Work Mode,Salary (INR),Workplace Accessibility,Workplace Location
1242,Cybersecurity Analyst,"Neurological Disorder, Autism Spectrum Disorder, Speech Impairment","Networking, Security, Risk Management",Remote,599086,Assistive Technology,Delhi
1243,Content Writer,"Autism Spectrum Disorder, Mental Health Condition","Writing, Editing, SEO",Hybrid,507512,Wheelchair Access,Ahmedabad
1244,Content Writer,"Visual Impairment, Autism Spectrum Disorder","Writing, Editing, SEO",On-site,478147,Wheelchair Access,Pune
1245,Cybersecurity Analyst,"Visual Impairment, Neurological Disorder, Hearing Impairment, Speech Impairment","Networking, Security, Risk Management",Remote,1493226,Quiet Workspace,Kolkata
1246,Call Center Agent,"Mental Health Condition, Speech Impairment","Communication, Problem-Solving, Customer Service",On-site,613789,Assistive Technology,Pune
1247,Data Analyst,"Visual Impairment, Mental Health Condition","Python, SQL, Excel",Remote,1094871,Wheelchair Access,Delhi
1248,HR Executive,"Autism Spectrum Disorder, Physical Disability, Hearing Impairment, Mental Health Condition","Communication, Leadership, Negotiation",On-site,1280262,Assistive Technology,Chennai
1249,Content Writer,"Autism Spectrum Disorder, Visual Impairment, Speech Impairment, Chronic Illness","Writing, Editing, SEO",Hybrid,638638,Wheelchair Access,Bangalore
1250,Content Writer,"Speech Impairment, Autism Spectrum Disorder, Mental Health Condition","Writing, Editing, SEO",Hybrid,815249,Quiet Workspace,Jaipur
1251,Data Analyst,"Speech Impairment, Cognitive Impairment","Python, SQL, Excel",Hybrid,1403640,Quiet Workspace,Bangalore
1252,Content Writer,"Neurological Disorder, Speech Impairment, Physical Disability","Writing, Editing, SEO",On-site,1408454,Assistive Technology,Mumbai
1253,Call Center Agent,"Hearing Impairment, Mental Health Condition, Speech Impairment, Chronic Illness","Communication, Problem-Solving, Customer Service",Remote,1121504,Remote Work Possible,Bangalore
1254,Teacher,"Cognitive Impairment, Hearing Impairment, Physical Disability","Teaching, Curriculum Planning, Public Speaking",Remote,1270602,Remote Work Possible,Jaipur
1255,Teacher,"Visual Impairment, Autism Spectrum Disorder, Physical Disability","Teaching, Curriculum Planning, Public Speaking",Hybrid,1047534,Remote Work Possible,Mumbai
1256,HR Executive,"Visual Impairment, Autism Spectrum Disorder, Hearing Impairment, Neurological Disorder","Communication, Leadership, Negotiation",Remote,691373,Wheelchair Access,Chennai
1257,Mechanical Engineer,"Physical Disability, Autism Spectrum Disorder","AutoCAD, SolidWorks, Design Thinking",On-site,747188,Assistive Technology,Delhi
1258,Content Writer,"Cognitive Impairment, Autism Spectrum Disorder, Physical Disability","Writing, Editing, SEO",On-site,797386,Quiet Workspace,Jaipur
1259,Data Analyst,"Speech Impairment, Visual Impairment","Python, SQL, Excel",Hybrid,1087085,Quiet Workspace,Jaipur
1260,Content Writer,"Speech Impairment, Visual Impairment","Writing, Editing, SEO",Hybrid,1405505,Sign Language Interpreter,Bangalore
1261,Graphic Designer,"Mental Health Condition, Neurological Disorder","Adobe Photoshop, Illustrator, Creativity",Hybrid,745699,Remote Work Possible,Chennai
1262,HR Executive,"Speech Impairment, Visual Impairment","Communication, Leadership, Negotiation",Hybrid,488741,Remote Work Possible,Bangalore
1263,Mechanical Engineer,"Cognitive Impairment, Visual Impairment","AutoCAD, SolidWorks, Design Thinking",Hybrid,543460,Wheelchair Access,Chennai
1264,Cybersecurity Analyst,"Mental Health Condition, Physical Disability, Chronic Illness, Hearing Impairment","Networking, Security, Risk Management",Hybrid,1244464,Assistive Technology,Hyderabad
1265,Call Center Agent,"Speech Impairment, Chronic Illness, Neurological Disorder, Cognitive Impairment","Communication, Problem-Solving, Customer Service",On-site,523235,Quiet Workspace,Pune
1266,Marketing Manager,"Physical Disability, Autism Spectrum Disorder","SEO, Social Media Marketing, Communication",On-site,439215,Sign Language Interpreter,Kolkata
1267,Software Engineer,"Speech Impairment, Mental Health Condition","Python, JavaScript, SQL",Remote,1064305,Assistive Technology,Ahmedabad
1268,Graphic Designer,"Hearing Impairment, Autism Spectrum Disorder, Visual Impairment","Adobe Photoshop, Illustrator, Creativity",On-site,539096,Sign Language Interpreter,Mumbai
1269,Software Engineer,"Speech Impairment, Chronic Illness","Python, JavaScript, SQL",Hybrid,1227422,Wheelchair Access,Chennai
1270,Marketing Manager,"Neurological Disorder, Hearing Impairment","SEO, Social Media Marketing, Communication",Hybrid,565561,Remote Work Possible,Kolkata
1271,Content Writer,"Speech Impairment, Cognitive Impairment","Writing, Editing, SEO",Hybrid,1260369,Wheelchair Access,Hyderabad
1272,HR Executive,"Cognitive Impairment, Hearing Impairment","Communication, Leadership, Negotiation",Remote,1337909,Wheelchair Access,Pune
1273,Software Engineer,"Neurological Disorder, Cognitive Impairment, Mental Health Condition, Autism Spectrum Disorder","Python, JavaScript, SQL",On-site,1020083,Sign Language Interpreter,Chennai
1274,Mechanical Engineer,"Autism Spectrum Disorder, Neurological Disorder","AutoCAD, SolidWorks, Design Thinking",Hybrid,491736,Wheelchair Access,Kolkata
1275,Teacher,"Visual Impairment, Mental Health Condition, Speech Impairment, Neurological Disorder","Teaching, Curriculum Planning, Public Speaking",On-site,1257384,Sign Language Interpreter,Delhi
1276,Teacher,"Neurological Disorder, Visual Impairment, Hearing Impairment","Teaching, Curriculum Planning, Public Speaking",Remote,986158,Quiet Workspace,Hyderabad
1277,Marketing Manager,"Autism Spectrum Disorder, Hearing Impairment, Chronic Illness, Visual Impairment","SEO, Social Media Marketing, Communication",On-site,707338,Remote Work Possible,Mumbai
1278,Software Engineer,"Chronic Illness, Visual Impairment, Autism Spectrum Disorder","Python, JavaScript, SQL",On-site,1476483,Quiet Workspace,Ahmedabad
1279,Content Writer,"Physical Disability, Neurological Disorder, Mental Health Condition","Writing, Editing, SEO",Remote,1255705,Remote Work Possible,Pune
1280,Cybersecurity Analyst,"Mental Health Condition, Visual Impairment, Cognitive Impairment, Physical Disability","Networking, Security, Risk Management",On-site,588104,Quiet Workspace,Mumbai
1281,Teacher,"Cognitive Impairment, Autism Spectrum Disorder","Teaching, Curriculum Planning, Public Speaking",On-site,1332276,Sign Language Interpreter,Hyderabad
1282,HR Executive,"Cognitive Impairment, Autism Spectrum Disorder, Visual Impairment","Communication, Leadership, Negotiation",Hybrid,867297,Sign Language Interpreter,Kolkata
1283,Call Center Agent,"Speech Impairment, Autism Spectrum Disorder","Communication, Problem-Solving, Customer Service",Remote,854879,Remote Work Possible,Chennai
1284,Call Center Agent,"Chronic Illness, Physical Disability","Communication, Problem-Solving, Customer Service",On-site,1479920,Remote Work Possible,Kolkata
1285,Content Writer,"Cognitive Impairment, Hearing Impairment, Autism Spectrum Disorder","Writing, Editing, SEO",Hybrid,1164333,Quiet Workspace,Chennai
1286,Software Engineer,"Speech Impairment, Mental Health Condition, Autism Spectrum Disorder","Python, JavaScript, SQL",Hybrid,957147,Wheelchair Access,Kolkata
1287,HR Executive,"Physical Disability, Hearing Impairment, Visual Impairment, Neurological Disorder","Communication, Leadership, Negotiation",Hybrid,562230,Remote Work Possible,Jaipur
1288,Data Analyst,"Physical Disability, Autism Spectrum Disorder","Python, SQL, Excel",On-site,1283132,Wheelchair Access,Ahmedabad
1289,Marketing Manager,"Hearing Impairment, Visual Impairment","SEO, Social Media Marketing, Communication",On-site,1471516,Wheelchair Access,Delhi
1290,Marketing Manager,"Chronic Illness, Speech Impairment, Cognitive Impairment, Autism Spectrum Disorder","SEO, Social Media Marketing, Communication",Hybrid,593233,Assistive Technology,Mumbai
1291,Data Analyst,"Visual Impairment, Chronic Illness, Hearing Impairment, Speech Impairment","Python, SQL, Excel",Hybrid,809909,Quiet Workspace,Jaipur
1292,Mechanical Engineer,"Visual Impairment, Cognitive Impairment, Mental Health Condition","AutoCAD, SolidWorks, Design Thinking",Hybrid,473599,Assistive Technology,Ahmedabad
1293,Cybersecurity Analyst,"Neurological Disorder, Chronic Illness","Networking, Security, Risk Management",Remote,1075216,Assistive Technology,Bangalore
1294,Teacher,"Visual Impairment, Speech Impairment, Cognitive Impairment, Physical Disability","Teaching, Curriculum Planning, Public Speaking",Remote,882066,Assistive Technology,Kolkata
1295,HR Executive,"Neurological Disorder, Physical Disability","Communication, Leadership, Negotiation",Remote,942909,Sign Language Interpreter,Hyderabad
1296,HR Executive,"Speech Impairment, Visual Impairment, Mental Health Condition","Communication, Leadership, Negotiation",Remote,1472770,Quiet Workspace,Pune
1297,Teacher,"Neurological Disorder, Physical Disability, Mental Health Condition, Cognitive Impairment","Teaching, Curriculum Planning, Public Speaking",Remote,1182483,Quiet Workspace,Delhi
1298,Marketing Manager,"Cognitive Impairment, Speech Impairment, Neurological Disorder, Physical Disability","SEO, Social Media Marketing, Communication",On-site,1355739,Assistive Technology,Pune
1299,HR Executive,"Physical Disability, Autism Spectrum Disorder, Visual Impairment","Communication, Leadership, Negotiation",On-site,826392,Assistive Technology,Pune
1300,Software Engineer,"Cognitive Impairment, Speech Impairment, Mental Health Condition","Python, JavaScript, SQL",Remote,506982,Remote Work Possible,Kolkata
1301,HR Executive,"Physical Disability, Chronic Illness, Autism Spectrum Disorder, Neurological Disorder","Communication, Leadership, Negotiation",Hybrid,870724,Remote Work Possible,Bangalore
1302,Software Engineer,"Mental Health Condition, Physical Disability","Python, JavaScript, SQL",Hybrid,942616,Quiet Workspace,Chennai
1303,Mechanical Engineer,"Speech Impairment, Chronic Illness","AutoCAD, SolidWorks, Design Thinking",On-site,583166,Sign Language Interpreter,Ahmedabad
1304,Graphic Designer,"Autism Spectrum Disorder, Cognitive Impairment, Mental Health Condition","Adobe Photoshop, Illustrator, Creativity",Hybrid,898272,Remote Work Possible,Jaipur
1305,HR Executive,"Hearing Impairment, Speech Impairment","Communication, Leadership, Negotiation",Remote,1428933,Quiet Workspace,Chennai
1306,Data Analyst,"Mental Health Condition, Cognitive Impairment, Chronic Illness","Python, SQL, Excel",Hybrid,1382800,Wheelchair Access,Mumbai
1307,Data Analyst,"Speech Impairment, Mental Health Condition, Visual Impairment","Python, SQL, Excel",Hybrid,1413917,Sign Language Interpreter,Ahmedabad
1308,Graphic Designer,"Physical Disability, Visual Impairment, Autism Spectrum Disorder","Adobe Photoshop, Illustrator, Creativity",Remote,420033,Sign Language Interpreter,Mumbai
1309,Marketing Manager,"Autism Spectrum Disorder, Physical Disability, Hearing Impairment","SEO, Social Media Marketing, Communication",On-site,1063198,Remote Work Possible,Mumbai
1310,HR Executive,"Hearing Impairment, Chronic Illness","Communication, Leadership, Negotiation",Remote,701979,Sign Language Interpreter,Hyderabad
1311,Data Analyst,"Speech Impairment, Chronic Illness","Python, SQL, Excel",Remote,1194677,Remote Work Possible,Mumbai
1312,Data Analyst,"Speech Impairment, Mental Health Condition, Physical Disability","Python, SQL, Excel",Remote,1298459,Assistive Technology,Jaipur
1313,Teacher,"Chronic Illness, Physical Disability, Visual Impairment","Teaching, Curriculum Planning, Public Speaking",Hybrid,959441,Sign Language Interpreter,Jaipur
1314,HR Executive,"Chronic Illness, Mental Health Condition, Physical Disability, Autism Spectrum Disorder","Communication, Leadership, Negotiation",Hybrid,1220688,Remote Work Possible,Chennai
1315,Marketing Manager,"Neurological Disorder, Mental Health Condition","SEO, Social Media Marketing, Communication",Remote,650552,Remote Work Possible,Kolkata
1316,Mechanical Engineer,"Speech Impairment, Hearing Impairment, Visual Impairment","AutoCAD, SolidWorks, Design Thinking",Remote,713211,Sign Language Interpreter,Chennai
1317,Cybersecurity Analyst,"Hearing Impairment, Speech Impairment, Physical Disability, Visual Impairment","Networking, Security, Risk Management",Hybrid,874575,Quiet Workspace,Hyderabad
1318,Content Writer,"Physical Disability, Chronic Illness, Speech Impairment","Writing, Editing, SEO",On-site,568440,Assistive Technology,Ahmedabad
1319,Software Engineer,"Hearing Impairment, Neurological Disorder","Python, JavaScript, SQL",Remote,1046181,Sign Language Interpreter,Chennai
1320,Marketing Manager,"Neurological Disorder, Mental Health Condition","SEO, Social Media Marketing, Communication",Remote,1273956,Quiet Workspace,Mumbai
1321,Content Writer,"Speech Impairment, Autism Spectrum Disorder, Neurological Disorder, Physical Disability","Writing, Editing, SEO",Hybrid,979484,Quiet Workspace,Delhi
1322,Call Center Agent,"Neurological Disorder, Hearing Impairment, Autism Spectrum Disorder","Communication, Problem-Solving, Customer Service",On-site,985121,Sign Language Interpreter,Ahmedabad
1323,HR Executive,"Visual Impairment, Speech Impairment","Communication, Leadership, Negotiation",On-site,609831,Wheelchair Access,Kolkata
1324,Mechanical Engineer,"Autism Spectrum Disorder, Neurological Disorder","AutoCAD, SolidWorks, Design Thinking",Remote,1190698,Sign Language Interpreter,Bangalore
1325,Cybersecurity Analyst,"Cognitive Impairment, Chronic Illness, Mental Health Condition","Networking, Security, Risk Management",Hybrid,590943,Wheelchair Access,Jaipur
1326,Data Analyst,"Physical Disability, Speech Impairment, Neurological Disorder","Python, SQL, Excel",On-site,1134073,Sign Language Interpreter,Mumbai
1327,Content Writer,"Neurological Disorder, Mental Health Condition","Writing, Editing, SEO",On-site,1316508,Assistive Technology,Kolkata
1328,Graphic Designer,"Cognitive Impairment, Neurological Disorder, Hearing Impairment, Autism Spectrum Disorder","Adobe Photoshop, Illustrator, Creativity",On-site,1453511,Sign Language Interpreter,Bangalore
1329,Teacher,"Neurological Disorder, Chronic Illness, Visual Impairment","Teaching, Curriculum Planning, Public Speaking",Remote,701262,Wheelchair Access,Ahmedabad
1330,Call Center Agent,"Neurological Disorder, Autism Spectrum Disorder","Communication, Problem-Solving, Customer Service",Hybrid,1290481,Assistive Technology,Pune
1331,Call Center Agent,"Speech Impairment, Cognitive Impairment, Autism Spectrum Disorder","Communication, Problem-Solving, Customer Service",On-site,1187027,Remote Work Possible,Ahmedabad
1332,HR Executive,"Visual Impairment, Autism Spectrum Disorder, Cognitive Impairment","Communication, Leadership, Negotiation",On-site,778726,Assistive Technology,Chennai
1333,Mechanical Engineer,"Chronic Illness, Cognitive Impairment","AutoCAD, SolidWorks, Design Thinking",Remote,1348579,Wheelchair Access,Ahmedabad
1334,Content Writer,"Cognitive Impairment, Mental Health Condition, Physical Disability, Neurological Disorder","Writing, Editing, SEO",Remote,1247825,Assistive Technology,Jaipur
1335,HR Executive,"Chronic Illness, Speech Impairment, Neurological Disorder","Communication, Leadership, Negotiation",On-site,738968,Sign Language Interpreter,Mumbai
1336,Software Engineer,"Neurological Disorder, Physical Disability, Autism Spectrum Disorder, Speech Impairment","Python, JavaScript, SQL",Hybrid,680365,Sign Language Interpreter,Ahmedabad
1337,Marketing Manager,"Physical Disability, Autism Spectrum Disorder, Mental Health Condition, Speech Impairment","SEO, Social Media Marketing, Communication",Hybrid,1224389,Assistive Technology,Pune
1338,Data Analyst,"Visual Impairment, Cognitive Impairment","Python, SQL, Excel",Remote,893030,Sign Language Interpreter,Delhi
1339,Marketing Manager,"Autism Spectrum Disorder, Speech Impairment, Physical Disability, Mental Health Condition","SEO, Social Media Marketing, Communication",Hybrid,738953,Assistive Technology,Mumbai
1340,Teacher,"Autism Spectrum Disorder, Physical Disability, Visual Impairment","Teaching, Curriculum Planning, Public Speaking",Remote,1466641,Quiet Workspace,Bangalore
1341,Graphic Designer,"Mental Health Condition, Cognitive Impairment, Speech Impairment","Adobe Photoshop, Illustrator, Creativity",Remote,815589,Assistive Technology,Hyderabad
1342,Teacher,"Hearing Impairment, Neurological Disorder, Physical Disability","Teaching, Curriculum Planning, Public Speaking",On-site,566900,Sign Language Interpreter,Delhi
1343,Content Writer,"Speech Impairment, Chronic Illness, Cognitive Impairment","Writing, Editing, SEO",On-site,411573,Sign Language Interpreter,Jaipur
1344,Cybersecurity Analyst,"Chronic Illness, Neurological Disorder","Networking, Security, Risk Management",Hybrid,967439,Assistive Technology,Ahmedabad
1345,Call Center Agent,"Neurological Disorder, Autism Spectrum Disorder, Hearing Impairment, Chronic Illness","Communication, Problem-Solving, Customer Service",On-site,1357689,Wheelchair Access,Pune
1346,Marketing Manager,"Visual Impairment, Mental Health Condition, Neurological Disorder, Autism Spectrum Disorder","SEO, Social Media Marketing, Communication",Remote,483607,Quiet Workspace,Chennai
1347,Graphic Designer,"Cognitive Impairment, Autism Spectrum Disorder","Adobe Photoshop, Illustrator, Creativity",Hybrid,561572,Assistive Technology,Delhi
1348,Cybersecurity Analyst,"Autism Spectrum Disorder, Mental Health Condition, Cognitive Impairment","Networking, Security, Risk Management",On-site,1312799,Assistive Technology,Kolkata
1349,Teacher,"Hearing Impairment, Mental Health Condition, Speech Impairment","Teaching, Curriculum Planning, Public Speaking",Remote,1284304,Wheelchair Access,Hyderabad
1350,Teacher,"Cognitive Impairment, Autism Spectrum Disorder, Chronic Illness","Teaching, Curriculum Planning, Public Speaking",On-site,854593,Assistive Technology,Jaipur
1351,HR Executive,"Cognitive Impairment, Visual Impairment","Communication, Leadership, Negotiation",On-site,1133149,Sign Language Interpreter,Jaipur
1352,Cybersecurity Analyst,"Autism Spectrum Disorder, Hearing Impairment, Chronic Illness","Networking, Security, Risk Management",Remote,578250,Wheelchair Access,Ahmedabad
1353,Data Analyst,"Mental Health Condition, Visual Impairment","Python, SQL, Excel",On-site,1221695,Quiet Workspace,Delhi
1354,Mechanical Engineer,"Mental Health Condition, Physical Disability, Speech Impairment","AutoCAD, SolidWorks, Design Thinking",Hybrid,1235275,Sign Language Interpreter,Bangalore
1355,Graphic Designer,"Cognitive Impairment, Speech Impairment, Visual Impairment","Adobe Photoshop, Illustrator, Creativity",On-site,1108764,Wheelchair Access,Hyderabad
1356,Content Writer,"Hearing Impairment, Chronic Illness, Cognitive Impairment","Writing, Editing, SEO",On-site,1296260,Remote Work Possible,Delhi
1357,Software Engineer,"Cognitive Impairment, Chronic Illness, Speech Impairment, Autism Spectrum Disorder","Python, JavaScript, SQL",Remote,865791,Assistive Technology,Jaipur
1358,HR Executive,"Chronic Illness, Speech Impairment","Communication, Leadership, Negotiation",Hybrid,577314,Assistive Technology,Mumbai
1359,Marketing Manager,"Speech Impairment, Physical Disability","SEO, Social Media Marketing, Communication",Remote,534755,Wheelchair Access,Pune
1360,Data Analyst,"Neurological Disorder, Autism Spectrum Disorder, Speech Impairment, Cognitive Impairment","Python, SQL, Excel",On-site,1211856,Sign Language Interpreter,Chennai
1361,Software Engineer,"Chronic Illness, Visual Impairment, Speech Impairment, Mental Health Condition","Python, JavaScript, SQL",Remote,557133,Remote Work Possible,Kolkata
1362,Content Writer,"Mental Health Condition, Autism Spectrum Disorder, Physical Disability, Speech Impairment","Writing, Editing, SEO",On-site,551546,Assistive Technology,Ahmedabad
1363,Cybersecurity Analyst,"Speech Impairment, Hearing Impairment, Autism Spectrum Disorder","Networking, Security, Risk Management",Remote,1001768,Quiet Workspace,Ahmedabad
1364,Marketing Manager,"Physical Disability, Chronic Illness, Neurological Disorder, Visual Impairment","SEO, Social Media Marketing, Communication",Remote,432884,Sign Language Interpreter,Bangalore
1365,Graphic Designer,"Chronic Illness, Visual Impairment, Autism Spectrum Disorder","Adobe Photoshop, Illustrator, Creativity",On-site,721544,Wheelchair Access,Ahmedabad
1366,Mechanical Engineer,"Cognitive Impairment, Mental Health Condition","AutoCAD, SolidWorks, Design Thinking",On-site,894197,Sign Language Interpreter,Ahmedabad
1367,Content Writer,"Mental Health Condition, Physical Disability","Writing, Editing, SEO",On-site,1308710,Remote Work Possible,Pune
1368,Cybersecurity Analyst,"Speech Impairment, Chronic Illness, Autism Spectrum Disorder, Physical Disability","Networking, Security, Risk Management",On-site,749886,Assistive Technology,Bangalore
1369,Call Center Agent,"Visual Impairment, Hearing Impairment, Autism Spectrum Disorder","Communication, Problem-Solving, Customer Service",On-site,898170,Remote Work Possible,Pune
1370,Call Center Agent,"Cognitive Impairment, Mental Health Condition","Communication, Problem-Solving, Customer Service",Remote,534149,Wheelchair Access,Bangalore
1371,HR Executive,"Speech Impairment, Cognitive Impairment, Physical Disability","Communication, Leadership, Negotiation",On-site,792661,Assistive Technology,Delhi
1372,Graphic Designer,"Autism Spectrum Disorder, Chronic Illness","Adobe Photoshop, Illustrator, Creativity",On-site,1154484,Sign Language Interpreter,Jaipur
1373,Marketing Manager,"Chronic Illness, Neurological Disorder","SEO, Social Media Marketing, Communication",On-site,757916,Assistive Technology,Jaipur
1374,HR Executive,"Chronic Illness, Visual Impairment","Communication, Leadership, Negotiation",On-site,1390374,Wheelchair Access,Pune
1375,Graphic Designer,"Speech Impairment, Physical Disability","Adobe Photoshop, Illustrator, Creativity",Remote,939943,Assistive Technology,Jaipur
1376,HR Executive,"Mental Health Condition, Speech Impairment, Visual Impairment, Chronic Illness","Communication, Leadership, Negotiation",Hybrid,1321856,Wheelchair Access,Chennai
1377,HR Executive,"Mental Health Condition, Autism Spectrum Disorder, Chronic Illness","Communication, Leadership, Negotiation",Hybrid,465513,Assistive Technology,Mumbai
1378,Software Engineer,"Speech Impairment, Cognitive Impairment","Python, JavaScript, SQL",Hybrid,678194,Assistive Technology,Jaipur
1379,Software Engineer,"Mental Health Condition, Speech Impairment","Python, JavaScript, SQL",On-site,1321579,Remote Work Possible,Chennai
1380,Teacher,"Physical Disability, Chronic Illness, Neurological Disorder, Mental Health Condition","Teaching, Curriculum Planning, Public Speaking",Remote,986652,Assistive Technology,Hyderabad
1381,Cybersecurity Analyst,"Mental Health Condition, Neurological Disorder","Networking, Security, Risk Management",On-site,508882,Remote Work Possible,Jaipur
1382,Call Center Agent,"Physical Disability, Autism Spectrum Disorder, Speech Impairment, Cognitive Impairment","Communication, Problem-Solving, Customer Service",Hybrid,932880,Wheelchair Access,Bangalore
1383,Software Engineer,"Autism Spectrum Disorder, Chronic Illness, Hearing Impairment","Python, JavaScript, SQL",Remote,1150909,Remote Work Possible,Mumbai
1384,Data Analyst,"Speech Impairment, Autism Spectrum Disorder, Neurological Disorder, Hearing Impairment","Python, SQL, Excel",Hybrid,909788,Wheelchair Access,Ahmedabad
1385,Content Writer,"Mental Health Condition, Neurological Disorder, Visual Impairment, Speech Impairment","Writing, Editing, SEO",Hybrid,829184,Assistive Technology,Hyderabad
1386,Marketing Manager,"Mental Health Condition, Cognitive Impairment","SEO, Social Media Marketing, Communication",Hybrid,1034756,Assistive Technology,Bangalore
1387,Mechanical Engineer,"Cognitive Impairment, Hearing Impairment, Mental Health Condition","AutoCAD, SolidWorks, Design Thinking",Hybrid,1000717,Wheelchair Access,Bangalore
1388,Content Writer,"Visual Impairment, Neurological Disorder","Writing, Editing, SEO",Hybrid,1459099,Assistive Technology,Kolkata
1389,Content Writer,"Neurological Disorder, Speech Impairment, Hearing Impairment, Autism Spectrum Disorder","Writing, Editing, SEO",Hybrid,770130,Assistive Technology,Chennai
1390,Teacher,"Visual Impairment, Hearing Impairment, Chronic Illness","Teaching, Curriculum Planning, Public Speaking",Remote,978688,Assistive Technology,Hyderabad
1391,Data Analyst,"Mental Health Condition, Hearing Impairment, Chronic Illness","Python, SQL, Excel",Remote,1294659,Quiet Workspace,Jaipur
1392,Cybersecurity Analyst,"Physical Disability, Mental Health Condition","Networking, Security, Risk Management",Remote,457753,Wheelchair Access,Kolkata
1393,Content Writer,"Mental Health Condition, Chronic Illness, Hearing Impairment","Writing, Editing, SEO",On-site,894289,Wheelchair Access,Jaipur
1394,Data Analyst,"Neurological Disorder, Mental Health Condition, Physical Disability, Speech Impairment","Python, SQL, Excel",On-site,631969,Wheelchair Access,Delhi
1395,Data Analyst,"Mental Health Condition, Chronic Illness","Python, SQL, Excel",Remote,852793,Assistive Technology,Pune
1396,Cybersecurity Analyst,"Mental Health Condition, Physical Disability, Autism Spectrum Disorder, Hearing Impairment","Networking, Security, Risk Management",On-site,552192,Sign Language Interpreter,Bangalore
1397,Data Analyst,"Cognitive Impairment, Autism Spectrum Disorder","Python, SQL, Excel",Remote,900345,Quiet Workspace,Hyderabad
1398,Software Engineer,"Physical Disability, Hearing Impairment","Python, JavaScript, SQL",Remote,1345844,Assistive Technology,Pune
1399,Cybersecurity Analyst,"Physical Disability, Mental Health Condition","Networking, Security, Risk Management",Remote,1331406,Wheelchair Access,Ahmedabad
1400,Software Engineer,"Neurological Disorder, Visual Impairment, Speech Impairment","Python, JavaScript, SQL",Hybrid,1125487,Sign Language Interpreter,Jaipur
1401,Software Engineer,"Autism Spectrum Disorder, Hearing Impairment, Physical Disability, Speech Impairment","Python, JavaScript, SQL",Hybrid,1380645,Sign Language Interpreter,Kolkata
1402,Marketing Manager,"Chronic Illness, Visual Impairment, Physical Disability, Speech Impairment","SEO, Social Media Marketing, Communication",Hybrid,832645,Assistive Technology,Mumbai
1403,Cybersecurity Analyst,"Physical Disability, Cognitive Impairment, Chronic Illness, Speech Impairment","Networking, Security, Risk Management",Hybrid,933478,Remote Work Possible,Delhi
1404,Data Analyst,"Neurological Disorder, Physical Disability, Mental Health Condition","Python, SQL, Excel",On-site,790118,Wheelchair Access,Jaipur
1405,Graphic Designer,"Speech Impairment, Autism Spectrum Disorder, Visual Impairment","Adobe Photoshop, Illustrator, Creativity",Remote,580260,Quiet Workspace,Chennai
1406,Mechanical Engineer,"Autism Spectrum Disorder, Hearing Impairment, Visual Impairment","AutoCAD, SolidWorks, Design Thinking",Remote,789074,Remote Work Possible,Ahmedabad
1407,Software Engineer,"Speech Impairment, Mental Health Condition, Physical Disability","Python, JavaScript, SQL",Hybrid,699211,Wheelchair Access,Mumbai
1408,Graphic Designer,"Visual Impairment, Hearing Impairment, Mental Health Condition, Speech Impairment","Adobe Photoshop, Illustrator, Creativity",On-site,841217,Sign Language Interpreter,Bangalore
1409,Call Center Agent,"Chronic Illness, Physical Disability, Mental Health Condition, Speech Impairment","Communication, Problem-Solving, Customer Service",Hybrid,1261385,Remote Work Possible,Pune
1410,Graphic Designer,"Chronic Illness, Speech Impairment, Autism Spectrum Disorder, Physical Disability","Adobe Photoshop, Illustrator, Creativity",On-site,470255,Remote Work Possible,Chennai
1411,Call Center Agent,"Neurological Disorder, Cognitive Impairment, Physical Disability, Hearing Impairment","Communication, Problem-Solving, Customer Service",Remote,1257096,Wheelchair Access,Kolkata
1412,Software Engineer,"Visual Impairment, Speech Impairment, Chronic Illness","Python, JavaScript, SQL",On-site,551452,Assistive Technology,Chennai
1413,Content Writer,"Cognitive Impairment, Visual Impairment, Hearing Impairment","Writing, Editing, SEO",Remote,902513,Sign Language Interpreter,Bangalore
1414,Data Analyst,"Chronic Illness, Physical Disability, Hearing Impairment, Visual Impairment","Python, SQL, Excel",On-site,570291,Assistive Technology,Kolkata
1415,Data Analyst,"Visual Impairment, Cognitive Impairment, Hearing Impairment, Speech Impairment","Python, SQL, Excel",Hybrid,1305011,Wheelchair Access,Hyderabad
1416,Cybersecurity Analyst,"Mental Health Condition, Visual Impairment","Networking, Security, Risk Management",Hybrid,452008,Quiet Workspace,Delhi
1417,Software Engineer,"Speech Impairment, Mental Health Condition","Python, JavaScript, SQL",Hybrid,460441,Wheelchair Access,Delhi
1418,Software Engineer,"Neurological Disorder, Physical Disability, Cognitive Impairment, Mental Health Condition","Python, JavaScript, SQL",On-site,1300607,Sign Language Interpreter,Pune
1419,Graphic Designer,"Cognitive Impairment, Hearing Impairment","Adobe Photoshop, Illustrator, Creativity",On-site,1150550,Wheelchair Access,Delhi
1420,Teacher,"Visual Impairment, Hearing Impairment, Chronic Illness","Teaching, Curriculum Planning, Public Speaking",On-site,676127,Wheelchair Access,Ahmedabad
1421,HR Executive,"Neurological Disorder, Speech Impairment","Communication, Leadership, Negotiation",Remote,458596,Assistive Technology,Pune
1422,Content Writer,"Autism Spectrum Disorder, Visual Impairment, Mental Health Condition","Writing, Editing, SEO",Hybrid,458770,Assistive Technology,Pune
1423,Teacher,"Cognitive Impairment, Speech Impairment","Teaching, Curriculum Planning, Public Speaking",On-site,1085939,Assistive Technology,Bangalore
